MatchID,StartingXI
24,"Michael Tack,Joshua Diaz,Patrick Tiller,Richard Basso,William Alexander,Walter Carter,Dewey White,Brandon Hamilton,Johnathon Schmidt,Christopher Fair,Paul Dang"
25,"Ernest Hartman,Brian Steffey,Robert Smiley,Ned Smith,Benjamin Hedgepeth,Cody Cawley,Sidney Dipalma,Cedric Penn,Dean Patel,Riley Garner,James Duckett"
25,"Robert Jones,James Sandlin,Adrian Cornejo,Omar Thomas,Brett Kalinowski,Frank Smith,Robert Garwood,Ralph Poole,Luke Keller,James Weeks,Guillermo Moses"
26,"Russel Folsom,Edward Brown,Walter Chapman,Matthew Warren,John Scott,Kieth Smith,Charles Akins,Travis Jacob,David Deaton,Carl Dam,Micheal Smith"
26,"Larry Rickman,Keith Greene,John Howard,William Tate,Roy Bush,William Padgett,James Barnes,Al Allison,John Orr,Stuart Allen,Kenneth Jarosz"
27,"Donald Solis,John Albers,Manuel Farrell,Kenneth Wheatley,Miguel Jones,Garry Oboyle,Morris Solomon,Dennis Johnson,Michael Suhr,Michael Joyce,Ryan Pettit"
27,"Emmanuel Cook,William Stephens,Allen Hernandez,Ricardo Chapa,Steve Waldo,Shane Turner,Eugene Ayers,John Rich,Tyler Jarrett,Jim Barnes,Joshua Bowden"
28,"Jack Brady,Daniel Callahan,Pasquale Dalton,William Kemp,Arthur Matos,Richard Federico,David Dugan,Michael Arnold,Walter Weber,Peter Mason,Alejandro Mickle"
28,"Wayne Nickel,Joshua Swisher,Elmer Wright,Dustin White,Brandon Murray,Fred Westfield,Michael Bright,Richard Young,Milton Coleman,Leon George,Anthony Mayville"
29,"John Danner,Thomas Graves,Dwayne Searfoss,Hector Perez,John Douglas,Steven Warren,Leslie Lindsay,Peter Jones,Dwight Eakins,Sam Johnson,Shannon Carico"
29,"Anthony Jennings,Frank Smith,Scott Rosenberg,Jose McRay,Herb Escobar,Robert Watson,Matthew Cabezas,Vincent Woodby,Dan Fischer,Bruce Roberts,David Hartman"
30,"Ronnie Tran,Joseph Dykes,Ronald Maas,Russell Thomas,James Beasley,James Rockwell,Walter George,Michael Lymon,Alex Trevino,Michael Echols,James Jones"
30,"Daniel Davila,Danny Harris,David McFall,Ronald Garcia,Tony Remley,Stephen Muniz,William Abbott,George Stein,Kenneth Puckett,Allen Rodriguez,Charlie Helm"
31,"Christian Wheeler,Robert Tyler,James Taylor,Bradley Manzano,Richard Messina,Willie Westbrook,Joseph Dunn,Jeremy Miller,Michael McMahon,Thomas McChristian,Michael Hubbard"
31,"Cory Friend,Robert Mitchell,David Rosenbaum,William Flanagan,Henry Oakley,Wiley Kim,Robert Obrien,David Crowley,Donald Mullin,Michael Bentley,Mark Grandstaff"
32,"Scott Gonzalez,Hector Pena,Alex Barrett,Charles Hudson,John Shields,Matthew Glowacki,Rodney Brooks,Paul Johnson,Lance Silvera,Dick Peachey,Larry Velasquez"
32,"Charles Martens,Rory Noga,David Sullivan,Adam McWhorter,Richard Benner,Timmy Gonzalez,Kirk Bixler,Nicholas Caulkins,Timothy Latham,Abel Worley,Matthew Spada"
33,"Kevin Glover,Albert Maestas,Bryon Pierce,Troy Duquette,Jere Avila,Wayne Bowen,Lionel Weidman,Don Perry,Michael Dew,Lester Harvey,Harris Turgeon"
33,"John Matlock,John Davis,Shawn Carr,Michael Gallardo,Steven Taylor,David Ehrlich,Charles Walters,Charles Pesce,George Adams,Robert Jefferies,Robert Fain"
34,"Russel Wells,Milton McManus,Cameron Scales,Edward Meraz,William Wilson,Albert Roark,Douglas Lamphear,John Risley,James Duncan,Eduardo Turner,Santos Darnell"
34,"Rick Fernandez,Randall Wilson,Emil Hollins,Robert Mendez,Thomas Bonner,Douglas Shepherd,Thomas McGowan,Laverne Monaghan,James Savage,Kenneth Schaeffer,Jon Geren"
35,"Ernest Hartman,Robert Smiley,Robert Samson,Bert Lockwood,Craig Ingram,Benjamin Hedgepeth,Cody Cawley,William Harpe,Riley Garner,William Noell,Luther Jeanlouis"
35,"Stanley May,Robert Graves,Kevin Hershey,Christopher Harrison,William Moulton,William Griffith,Charles Harris,Earl White,Howard Maynard,Chris Blough,Billy Colon"
36,"Freddie Do,Walter Chapman,James Warren,Darrel Behling,Charles Akins,Kieth Smith,Mario Gray,Dennis Gregory,Travis Jacob,Fred Williams,Gary Li"
36,"Seth Fray,Ronnie Jacob,Ralph Porter,Jack Floyd,Walker Wyatt,Matthew Morgan,Thomas Do,Joseph Goff,Eric Coyne,Michael McNeil,Robin Sellers"
37,"Donald Solis,Carlos Walton,John Albers,Joshua Golden,John O'Neill,Morris Solomon,Michael Suhr,Alfredo Mills,Douglas Hastings,Ryan Pettit,Michael Joyce"
37,"Robert Basile,Philip Maldonado,Cody Chipman,James Gillham,Richard Gutierrez,Lucas Jones,Columbus Leblanc,Michael Yang,Gary Nichols,Charles Martin,Jeffrey Bachelder"
38,"Jerry Calderon,Arthur Matos,Daniel Callahan,Peter Hess,Paul Steiner,Walter Weber,Richard Federico,Charles Elmer,Michael Arnold,Leland Crisp,Alejandro Mickle"
38,"Cleveland Hinrichs,Gerald Nelson,Porter Harris,David Larson,Greg Cooper,George Oakes,Sammie Anderson,Michael Winters,Wendell Marcotte,Gary Puente,Glen Rhein"
39,"Carl Keller,Elmer Wright,Joshua Swisher,Robert Petersen,Clayton Faust,Donald Reagan,Fred Westfield,Richard Young,Michael Bright,Johnathan West,Leon George"
39,"Ronald Martinez,Glenn Gallegos,Robert Locklear,Kory Hatton,Henry Houle,Irwin Rideout,Dominique Webb,Jesse Geer,Harry Pope,Archie Hartley,Patrick Tillman"
40,"Emmanuel Cook,William Stephens,Steve Waldo,Greg Gibbons,Allen Hernandez,Mark Cook,John Rich,Eugene Ayers,Timothy Howard,Gary Mitchell,Harry Skinner"
40,"John Crouch,Steven Moeller,Alfred Paradis,Brandon Bartlett,Lewis Hawthorne,Reynaldo Hawkins,Charles Spillman,Robert Riccardi,Edward Diaz,Hugh Thomson,Ricardo Williams"
41,"Cornell Bartels,Timothy Babich,Robt Mendez,William Tate,Roy Bush,Sean McCall,Al Allison,William Padgett,John Orr,Jim Houser,Raul Young"
41,"James Mullen,Adam Johnson,Max Williams,Jacob Winchester,Amos Wilson,Weldon Pasley,Gregorio Davis,Jeffery Cost,Earl Cook,Erik Briggs,Elmer Barfield"
42,"Jamey Wagner,Cecil Harris,Arthur Barron,James Sandlin,Jordan West,Frank Smith,John McKay,Robert Garwood,Christopher Jimison,Keith Harton,Edmund Carver"
42,"Joseph Toscano,Joaquin Lewis,Daryl Apodaca,Rick Franklin,Brandon Hamilton,Walter Carter,Johnathon Schmidt,Jimmy Jordan,William Alexander,James Tompkins,Paul Dang"
43,"Odell Williams,Scott Rosenberg,William Tseng,Antonio Carver,Robert Watson,Herb Escobar,Milton Tyler,Darin Pipkin,Dan Fischer,Mike Smith,Ralph Stine"
43,"Wallace Archer,Keith Greene,Roy Bush,William Tate,John Howard,Sean McCall,John Hernandez,James Barnes,Anthony Courtney,Stuart Allen,Raul Young"
44,"Fredrick Bell,Greg Gibbons,Kenneth Riley,Ricardo Chapa,William Stephens,Mark Cook,Shane Turner,Homer Lott,Tyler Jarrett,Jim Barnes,Harry Skinner"
44,"Robert Jones,Omar Thomas,Arthur Barron,Jordan West,Jeffrey Smith,Patrick Ruiz,Doyle McGlynn,Robert Garwood,Ralph Poole,Edmund Carver,Simon Fetters"
45,"Trent Schultz,Brandon Murray,Joshua Swisher,Jerome Washington,Clayton Faust,Fred Westfield,Michael Stark,Edward Harper,Johnathan West,Alan Denton,Anthony Mayville"
45,"Tim Munoz,Rick Franklin,Patrick Tiller,Daryl Apodaca,Joshua Diaz,Walter Carter,Johnathon Schmidt,William Alexander,Thomas Mace,Steve Brown,James Tompkins"
46,"Jerry Calderon,Peter Hess,William Kemp,Daniel Callahan,Pasquale Dalton,Michael Arnold,Richard Federico,Rafael Krajewski,Paul Steiner,Leland Crisp,Michael Houser"
46,"Frank Greene,Jacob Winchester,Alfred Edwards,Adam Johnson,Henry Tevis,Earl Cook,Weldon Pasley,Jeffery Cost,Amos Wilson,Elmer Barfield,Anthony Lee"
47,"Corey Cochran,Carlos Walton,Joshua Golden,Manuel Farrell,Bruce Young,Alfredo Mills,Morris Solomon,Michael Suhr,Garry Oboyle,Douglas Hastings,Michael Joyce"
47,"John Crouch,Glenn Stewart,Craig Saleem,Terry Perkins,Brandon Bartlett,Michael Wheeler,Fletcher Yoder,Danny Sharp,Matthew Harris,Edward Diaz,Steven Patel"
48,"Russel Folsom,William Weddington,Lee Cloutier,Matthew Warren,Darrel Behling,Charles Akins,Joseph Lee,Kieth Smith,Fred Williams,Gary Li,Edwin Rivera"
48,"Robert Pitts,Jerry Moeller,Robert Locklear,Sonny Lydon,Henry Houle,Harry Pope,Dominique Webb,Robert Jameson,Jesse Geer,Gregory Splawn,Patrick Tillman"
49,"Russell Pouncy,Bert Lockwood,Craig Ingram,Gil Crider,Ned Smith,William Harpe,William Torres,Cody Cawley,Jerry Gallegos,Riley Garner,James Duckett"
49,"Cleveland Hinrichs,Gerald Nelson,Porter Harris,Greg Cooper,Harold Wilson,Michael Winters,George Oakes,Josh Fritz,Johnny Parker,Glen Rhein,Tony Graham"
50,"Russel Wells,John Blake,Cameron Scales,Milton McManus,Michael Allmon,John Risley,James Duncan,William Wilson,William Ward,Robert Morin,Eduardo Turner"
50,"Robert Basile,Philip Maldonado,Luis Lewis,Cody Chipman,Michael Yang,Jason Urban,Lucas Jones,Columbus Leblanc,Gary Nichols,Scott Jones,Gabriel Oliver"
51,"Jeff Kelly,Greg Chang,Albert Maestas,Britt Collins,Santiago Harvey,Cecil Durham,Franklin Trent,Don Perry,Manuel Poteat,James Urias,Larry Cotter"
51,"Steven Moore,Fred Burley,Walker Wyatt,Jose Vega,Ralph Porter,Joseph Goff,Matthew Morgan,Charles Gordon,Robert Schaub,Michael McNeil,Robin Sellers"
52,"David Bailey,Alex Barrett,Charles Lynn,Hector Pena,Walter Mahon,Lance Silvera,Paul Johnson,John Ostlund,Jean Holm,Mike Jones,Roland Austin"
52,"Humberto Sherrard,Ted Williams,William Moulton,John Russell,William Griffith,Chad Gillam,Earl White,Frank McCullough,Andrew Berry,Howard Hurt,Billy Colon"
53,"Timothy Hart,Joshua Day,Robert Tyler,Bradley Manzano,David Palmer,Aaron Norwood,Michael McMahon,Richard Messina,Christopher Younkin,Michael Hubbard,Robert Myles"
53,"Maurice Troutman,Gabriel Barnett,Hilario Lentz,Robert Mendez,Emil Hollins,Richard Luckett,Douglas Shepherd,Thomas McGowan,James Savage,Vincent Ray,Jon Geren"
54,"Sidney Salley,Micheal Eskridge,Joseph Dykes,Ricardo Miller,James Beasley,Frederick Walker,Brian Blanchard,George Boudreaux,Michael Echols,Michael Moore,Willie Cady"
54,"Brent Wiley,Shawn Carr,John Miraglia,Steven Taylor,Charles Pesce,Charles Walters,Peter Salas,Byron Riddick,Gregory Case,Darrell Crump,Vincent Gore"
55,"John Danner,David Mares,Albert Moss,Joe Morris,Hector Perez,Darrell Vargas,Steven Warren,Dwight Eakins,John Douglas,Sam Johnson,David Coats"
55,"Karl Hollingsworth,Javier Sano,Rory Noga,Adam McWhorter,Timmy Gonzalez,Brian Whitten,Nicholas Caulkins,Todd Gibbons,Kirk Bixler,Kevin Stafford,Abel Worley"
56,"Daniel Davila,Roderick Hundley,John Hower,Danny Harris,Ronald Garcia,John Messier,Ricky Johnson,Kenneth Puckett,Stephen Muniz,Charlie Helm,Willie McCorkle"
56,"Robert Willoughby,Floyd Hurt,Henry Oakley,William Flanagan,Donald Mullin,Robert Obrien,Joseph Reed,David Crowley,Ted Figueroa,Michael Bentley,Patrick Infante"
57,"Jeffrey Maxwell,Antonio Carver,Robert Compton,Jason Kearns,Scott Rosenberg,Dan Fischer,Darin Pipkin,Robert Watson,Milton Tyler,Joseph Thompson,Bruce Roberts"
57,"Karl Hollingsworth,Mark Dubose,Richard Benner,Rory Noga,Brian Whitten,Timmy Gonzalez,William Phillips,Nicholas Caulkins,Todd Gibbons,Robert Marcello,Abel Worley"
58,"Wallace McNear,Jim Thomas,Shawn Carr,Steven Taylor,Vincent Viera,Charles Pesce,David Ward,Peter Salas,Gregory Case,Robert Jefferies,Gary Levine"
58,"Robert Willoughby,William Flanagan,Kevin Smith,Alan Bacchus,Donald Mullin,Wiley Kim,Joseph Reed,Robert Obrien,David Lapierre,Michael Bentley,Patrick Infante"
59,"Rick Fernandez,David Bryer,Hilario Lentz,Gabriel Barnett,Jonah Ruffin,Richard Luckett,Owen Roussel,Douglas Shepherd,Barry Wagner,Kenneth Morado,Kenneth Schaeffer"
59,"Donald Watkins,Ronald Garcia,David McFall,John Hower,Roderick Hundley,Kenneth Puckett,William Wilburn,Ricky Johnson,Willie McCorkle,Edward Horton,Patrick Klein"
60,"Michael Smith,Robert Graves,James Alvarez,Rodney Drake,William Griffith,Andrew Berry,Ray Brown,Earl White,Frank McCullough,Billy Colon,David Phillips"
60,"Rudolph Hayes,Joe Morris,Hector Perez,Thomas Graves,David Mares,John Douglas,Leslie Lindsay,Darrell Vargas,Juan Jones,Stanley Murphy,Ralph Smith"
61,"Steven Moore,Ricky Yates,Jose Vega,Ronnie Jacob,Ralph Porter,Charles Gordon,Donald Morgan,Don Oliver,Michael McNeil,Jack Trusty,Earl Stone"
61,"Sidney Salley,Joseph Dykes,Ricardo Miller,James Beasley,Brian Blanchard,Fred Williams,Michael Lymon,Joseph Brauer,James Rockwell,Jacob Ramirez,Alex Trevino"
62,"Robert Basile,Cody Chipman,Luis Lewis,Philip Maldonado,Edwin Brown,Richard Gutierrez,Michael Yang,Philip Maupin,Roberto Berry,Scott Jones,Gabriel Oliver"
62,"Christian Wheeler,Douglas Logan,Joshua Day,James Taylor,Bradley Manzano,Aaron Norwood,Michael McMahon,Richard Kidd,Willie Westbrook,Robert Myles,Michael Hubbard"
63,"Cleveland Hinrichs,Julius Skinner,Clayton Davis,David Larson,Harold Wilson,Elmer Hancock,Sammie Anderson,Wendell Marcotte,Josh Fritz,Tony Graham,Edgar Gunter"
63,"Carl Crawford,Alex Barrett,Edmond Threlkeld,Hector Pena,Matthew Reid,John Ostlund,Rodney Brooks,Lance Silvera,Jean Holm,Larry Velasquez,Robert Pitts"
64,"Ronald Martinez,Sonny Lydon,Glenn Gallegos,Robert Locklear,Jack Knapp,Jesse Geer,Harry Pope,Ronald Stein,Robert Jameson,Ronald Caudillo,Gregory Splawn"
64,"Patrick Ostlund,Albert Maestas,Bryon Pierce,Greg Chang,Troy Duquette,Franklin Trent,Jere Avila,Lionel Weidman,Cecil Durham,Lester Harvey,Harris Turgeon"
65,"Patrick Jean,Alfred Paradis,Craig Saleem,Brandon Bartlett,Steven Moeller,Robert Riccardi,Charles Spillman,Matthew Harris,Hugh Thomson,Edward Diaz,Terry Hill"
65,"Russel Wells,Roger Rowan,John Blake,Stacey Radabaugh,James Duncan,William Ward,John Risley,Albert Roark,William Wilson,Raymond Gonzalez,Johnny Gordon"
66,"James Mullen,Jacob Winchester,Adam Johnson,Michael Markham,Max Williams,Earl Cook,Gregorio Davis,Henry Tevis,Weldon Pasley,John Jones,Elmer Barfield"
66,"Russell Pouncy,Ned Smith,Bert Lockwood,Stanley William,Robert Samson,Sidney Dipalma,Jerry Gallegos,William Torres,Omar Pridmore,William Masters,William Noell"
67,"Joseph Toscano,Joaquin Lewis,Harry Webb,Joshua Diaz,Thomas Mace,Brandon Hamilton,Walter Carter,Jimmy Jordan,William Adams,Steve Brown,James Tompkins"
67,"Russel Folsom,Lee Cloutier,William Weddington,Matthew Warren,John Scott,John Clark,Dennis Gregory,David Deaton,Charles Akins,Fred Williams,Carl Dam"
68,"Jamey Wagner,Arthur Barron,Jeffrey Smith,Jordan West,Cecil Harris,Frank Smith,Ralph Poole,Brett Kalinowski,Simon Fetters,Edmund Carver,Keith Harton"
68,"Jeffrey Johnson,Manuel Farrell,John O'Neill,Joshua Golden,Carlos Walton,Alfredo Mills,Michael Suhr,Miguel Jones,Dennis Johnson,Ryan Pettit,Michael Joyce"
69,"Wallace Archer,John Howard,Robt Mendez,Roy Bush,Richard Zaragoza,John Hernandez,Anthony Courtney,Al Allison,Daniel Kennedy,Jim Houser,Raul Young"
69,"Peter Wyman,Pasquale Dalton,William Kemp,Peter Hess,Charles Elmer,Calvin Dombrowski,Rafael Krajewski,Walter Weber,Paul Steiner,Kevin Sherman,Alejandro Mickle"
70,"Emmanuel Cook,William Stephens,Allen Hernandez,Ricardo Chapa,Kenneth Hall,John Rich,Mark Cook,Tyler Jarrett,Mario Acuna,Timothy Howard,Jim Barnes"
70,"Trent Schultz,Dustin White,Clayton Faust,Joshua Swisher,Brandon Murray,Mike Knight,Joan McCrary,Fred Westfield,Edward Harper,Milton Coleman,Leon George"
71,"Anthony Jennings,Jose McRay,William Tseng,Robert Compton,Frank Smith,Matthew Cabezas,Milton Tyler,Dan Fischer,Joseph Thompson,David Hartman,Ralph Stine"
71,"Seth Fray,Ricky Yates,Jose Vega,Ralph Porter,Charles Gordon,Donald Morgan,Don Oliver,Thomas Do,Michael McDaniel,Earl Stone,Robert Schaub"
72,"Charlie Melton,Luis Lewis,James Gillham,Donald Talley,Mike Bumpers,Johnathon Bickham,Michael Yang,Columbus Leblanc,Lucas Jones,Charles Martin,Jeffrey Bachelder"
72,"Stanley May,John Russell,Robert Graves,Rodney Drake,William Moulton,Aaron Hyatt,Earl White,Ray Brown,Charles Harris,Billy Colon,David Phillips"
73,"Douglas King,David Kopec,David Larson,Clayton Davis,Michael Winters,Jeff Contreras,Sammie Anderson,Wendell Marcotte,George Oakes,Glen Rhein,Edgar Gunter"
73,"Maurice Troutman,Robert Mendez,Randall Wilson,Emil Hollins,Matthew Cook,Douglas Shepherd,Laverne Monaghan,Gary Hewitt,Jonah Ruffin,Kenneth Morado,Kenneth Schaeffer"
74,"Michael Ardito,Daniel Phillips,Sonny Lydon,Jack Knapp,Robert Locklear,Dominique Webb,Harry Pope,Irwin Rideout,Archie Hartley,Gregory Splawn,Patrick Tillman"
74,"John Matlock,John Miraglia,Michael Gallardo,Steven Taylor,Charles Walters,George Adams,David Ward,Gregory Case,Peter Salas,Darrell Crump,Vincent Gore"
75,"Ernest Carlson,Terry Perkins,Alfred Paradis,Brandon Bartlett,Fletcher Yoder,Danny Sharp,Charles Spillman,Reynaldo Hawkins,Robert Riccardi,Terry Hill,Hugh Thomson"
75,"Robert Pratt,David Sullivan,Mark Dubose,Rory Noga,Adam McWhorter,Nicholas Caulkins,Brian Whitten,Todd Gibbons,Vincent Murphy,Robert Marcello,Matthew Spada"
76,"Lionel Miller,Joseph Bowman,Jacob Winchester,Michael Markham,Adam Johnson,William Morris,Dominic Moore,Gregorio Davis,John Jones,Cecil Myers,Richard Todd"
76,"Robert Willoughby,Kevin Smith,David Rosenbaum,William Flanagan,Robert Mitchell,Robert Obrien,Ted Figueroa,Donald Mullin,Matthew Edwards,George Webb,Patrick Infante"
77,"Tim Munoz,Harry Webb,Joaquin Lewis,Nicholas Houston,Patrick Tiller,Jimmy Jordan,Walter Carter,Dewey White,George Rodriguez,Christopher Fair,Michael Mason"
